,SalePrice,LotFrontage,LotArea,TotalBsmtSF,BsmtUnfSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageArea,GarageCars,MoSold,YrSold,YearBuilt,PoolArea
391,215000,71.0,12209,804,114,804,1157,0,1961,2,1,3,1,7,560,2,6,2009,2001,0
392,106500,,8339,0,0,882,0,0,882,1,0,3,1,5,294,1,7,2007,1959,0
393,100000,,7446,788,522,788,0,0,788,1,0,2,1,4,0,0,4,2006,1941,0
394,109000,60.0,10134,735,735,735,299,0,1034,1,0,2,1,5,240,1,7,2007,1940,0
395,129000,68.0,9571,1144,405,1144,0,0,1144,1,0,3,1,6,596,1,6,2010,1956,0
396,123000,60.0,7200,894,117,894,0,0,894,1,0,2,1,6,600,2,9,2009,1972,0
397,169500,69.0,7590,864,324,876,936,0,1812,2,0,4,1,8,264,1,7,2007,1962,0
398,67000,60.0,8967,961,961,1077,0,0,1077,1,0,2,1,6,338,1,11,2007,1920,0
399,241000,65.0,8125,1092,280,1112,438,0,1550,2,0,2,1,7,438,2,10,2009,2006,0
401,164990,65.0,8767,1310,1286,1310,0,0,1310,2,0,3,1,6,400,2,7,2006,2005,0
402,108000,60.0,10200,672,672,672,0,0,672,1,0,2,1,4,240,1,8,2008,1940,0
403,258000,93.0,12090,1141,1141,1165,1098,0,2263,2,1,4,1,10,420,2,7,2006,1998,0
404,168000,,10364,806,806,806,766,0,1572,2,1,3,1,7,373,2,5,2007,1995,0
405,150000,,9991,1281,165,1620,0,0,1620,2,0,3,1,8,490,2,6,2009,1976,0
407,177000,63.0,15576,840,840,840,840,0,1680,2,0,4,1,8,308,1,3,2008,1915,0
408,280000,109.0,14154,1063,1063,1071,1101,0,2172,2,1,3,1,9,947,3,8,2007,2006,0
409,339750,85.0,10800,1034,245,1050,1028,0,2078,2,1,3,1,8,836,3,4,2008,2007,0
412,222000,,4403,1470,892,1478,0,0,1478,2,1,2,1,7,484,2,6,2010,2009,0
413,115000,56.0,8960,1008,1008,1028,0,0,1028,1,0,2,1,5,360,2,3,2010,1927,0
414,228000,59.0,11228,1080,499,1080,1017,0,2097,2,1,3,1,9,678,3,12,2008,1993,0
415,181134,73.0,8899,1340,1316,1340,0,0,1340,2,0,3,1,6,396,2,8,2007,2007,0
417,239000,86.0,22420,1370,242,1370,1254,0,2624,2,1,4,1,10,864,3,11,2007,1918,0
418,126000,60.0,8160,756,444,756,378,0,1134,1,1,3,1,7,240,1,4,2007,1940,0
419,142000,65.0,8450,1056,281,1056,0,0,1056,1,0,3,1,6,304,1,7,2010,1968,0
420,206300,78.0,7060,1344,35,1344,0,0,1344,2,0,2,2,8,784,4,11,2008,1997,0
421,215000,,16635,1602,356,1602,0,0,1602,2,0,3,1,8,529,2,6,2009,1977,0
422,113000,100.0,21750,988,988,988,0,0,988,1,0,2,1,4,520,2,2,2008,1954,0
423,315000,80.0,9200,1470,484,1470,1160,0,2630,2,1,4,1,8,696,3,6,2008,1998,0
426,275000,,12800,1518,0,1644,0,0,1644,2,0,2,1,5,569,2,8,2009,1989,0
427,109008,77.0,8593,907,619,907,0,0,907,1,0,3,1,5,352,1,7,2008,1957,0
428,195400,64.0,6762,1208,544,1208,0,0,1208,2,0,2,1,6,628,2,9,2007,2007,0
429,175000,130.0,11457,1392,387,1412,0,0,1412,2,0,3,1,6,576,2,3,2009,1988,0
430,85400,21.0,1680,483,96,483,504,0,987,1,1,2,1,4,264,1,7,2008,1971,0
431,79900,60.0,5586,901,901,1088,110,0,1198,1,0,4,1,7,0,0,9,2008,1920,0
432,122500,24.0,1920,765,294,765,600,0,1365,1,1,2,1,6,440,2,8,2007,1971,0
433,181000,100.0,10839,926,926,926,678,0,1604,2,1,3,1,7,470,2,7,2008,1997,0
434,81000,21.0,1890,630,135,630,0,0,630,1,0,1,1,3,0,0,6,2008,1972,0
435,212000,43.0,10667,799,70,827,834,0,1661,2,1,3,1,6,550,2,4,2009,1996,0
437,119000,50.0,6000,884,884,904,0,0,904,1,0,2,1,4,180,1,1,2009,1926,0
438,90350,40.0,4280,440,75,694,0,0,694,1,0,2,1,4,352,1,3,2007,1913,0
440,555000,105.0,15431,3094,788,2402,0,0,2402,2,0,2,1,10,672,3,4,2009,2008,0
441,118000,92.0,12108,1440,1307,1440,0,0,1440,2,0,4,2,8,0,0,9,2008,1955,0
442,162900,52.0,6240,1078,1078,1128,445,0,1573,2,0,3,1,8,360,2,6,2008,1930,0
443,172500,53.0,3922,1258,1258,1258,0,0,1258,2,0,2,1,6,648,3,6,2007,2006,0
444,210000,70.0,8750,915,273,933,975,0,1908,2,1,4,1,8,493,2,7,2008,1994,0
445,127500,73.0,9855,1436,1436,1689,0,0,1689,1,0,3,1,7,480,2,11,2009,1956,0
446,190000,137.0,16492,1517,557,1888,0,0,1888,2,1,2,1,6,578,2,6,2010,1966,0
447,199900,,11214,930,930,956,930,0,1886,2,1,4,1,10,431,2,7,2006,1998,0
448,119500,50.0,8600,780,780,780,596,0,1376,2,0,3,1,7,198,1,6,2006,1937,0
449,120000,50.0,6000,649,318,679,504,0,1183,1,1,2,1,6,308,1,6,2007,1948,0
450,110000,70.0,5684,813,813,813,0,0,813,1,0,2,1,5,270,1,6,2006,1930,0
452,204000,,9303,872,130,888,868,0,1756,2,1,3,1,7,422,2,7,2007,1996,0
454,188000,63.0,9297,1728,122,1728,0,0,1728,2,0,4,2,8,560,2,7,2006,1976,0
456,98000,34.0,4571,624,624,624,720,0,1344,1,0,4,1,7,513,3,5,2008,1916,0
457,256000,,53227,1364,248,1663,0,0,1663,1,0,2,1,6,529,2,3,2008,1954,0
458,161000,,5100,588,588,833,833,0,1666,1,0,3,1,7,228,1,6,2008,1925,0
459,110000,,7015,709,524,979,224,0,1203,1,0,3,1,5,352,1,7,2009,1950,0
460,263435,75.0,8004,832,288,832,1103,0,1935,2,1,3,1,8,552,2,12,2009,2009,0
461,155000,60.0,7200,560,0,575,560,0,1135,1,0,3,1,6,576,2,4,2009,1936,0
463,188700,74.0,11988,715,389,849,811,0,1660,1,1,3,1,6,240,1,8,2008,1934,0
464,124000,60.0,8430,1040,424,1040,0,0,1040,2,0,3,1,5,0,0,8,2009,1978,0
466,167000,85.0,10628,1277,499,1277,0,0,1277,1,0,2,1,5,526,2,4,2007,1970,0
467,146500,79.0,9480,728,342,888,756,0,1644,1,1,3,1,7,312,1,6,2007,1942,0
468,250000,98.0,11428,1626,1626,1634,0,0,1634,2,0,3,1,7,866,3,5,2007,2006,0
469,187000,76.0,9291,832,406,832,878,0,1710,2,1,3,1,7,506,2,6,2008,1993,0
470,212000,,6820,1488,0,1502,0,0,1502,1,1,1,1,4,528,2,6,2010,1985,0
471,190000,92.0,11952,808,808,1161,808,0,1969,2,1,3,1,8,534,2,11,2007,1977,0
472,148000,35.0,3675,547,88,1072,0,0,1072,1,0,2,1,5,525,2,6,2008,2005,0
473,440000,110.0,14977,1976,626,1976,0,0,1976,2,0,2,1,7,908,3,7,2007,2006,0
474,251000,41.0,5330,1494,298,1652,0,0,1652,2,0,2,1,6,499,2,8,2007,2000,0
475,132500,80.0,8480,970,340,970,0,0,970,1,0,2,1,5,624,2,7,2007,1963,0
476,208900,75.0,13125,1478,484,1493,0,0,1493,2,0,3,1,7,508,2,4,2008,1997,0
479,89471,50.0,5925,907,739,1131,0,0,1131,1,0,2,1,7,672,2,3,2007,1937,0
480,326000,98.0,16033,1833,572,1850,0,0,1850,2,0,3,1,8,772,3,3,2006,2004,0
482,155000,50.0,2500,910,611,916,910,0,1826,1,1,4,1,7,164,1,6,2009,1915,0
485,147000,80.0,9600,1113,506,1113,0,0,1113,1,0,3,1,5,264,1,7,2009,1950,0
486,156000,79.0,10289,1073,237,1073,0,0,1073,1,1,3,1,6,515,2,6,2007,1965,0
487,175000,70.0,12243,1484,486,1484,0,0,1484,2,0,3,1,7,487,2,2,2007,1971,0
488,160000,60.0,10800,954,290,1766,648,0,2414,2,0,3,2,10,520,2,5,2006,1900,0
490,115000,,2665,264,264,616,688,0,1304,1,1,3,1,4,336,1,6,2008,1976,0
491,133000,79.0,9490,806,238,958,620,0,1578,1,0,3,1,5,240,1,8,2006,1941,0
492,172785,105.0,15578,728,728,728,728,0,1456,2,1,3,1,8,429,2,5,2006,2006,0
493,155000,70.0,7931,1269,363,1269,0,0,1269,1,1,3,1,6,308,1,6,2008,1960,0
496,430000,,12692,3200,1969,3228,0,0,3228,3,0,4,1,10,546,2,5,2007,1992,0
497,184000,60.0,9120,1026,697,1133,687,0,1820,2,0,4,1,8,240,1,6,2008,1925,0
498,130000,65.0,7800,864,414,899,0,0,899,1,0,3,1,5,288,1,6,2009,1967,0
499,120000,70.0,7535,912,522,912,0,0,912,1,0,2,1,5,297,1,6,2007,1958,0
500,113000,21.0,1890,672,316,672,546,0,1218,1,1,3,1,7,264,1,5,2007,1973,0
501,226700,75.0,9803,866,466,866,902,0,1768,2,1,3,1,7,603,2,2,2008,2005,0
502,140000,70.0,9170,1214,420,1214,0,0,1214,1,0,2,1,6,461,2,4,2007,1965,0
503,289000,100.0,15602,1501,254,1801,0,0,1801,2,0,1,1,6,484,2,3,2010,1959,0
504,147000,24.0,2308,855,103,855,467,0,1322,2,1,3,1,6,440,2,6,2009,1974,0
505,124500,60.0,7596,960,960,960,1000,0,1960,2,0,4,2,10,400,2,7,2009,1952,0
507,208300,75.0,7862,1218,1191,1218,0,0,1218,2,0,2,1,4,676,2,9,2009,2009,0
510,164900,75.0,14559,1008,178,1363,0,0,1363,1,0,2,1,6,288,1,6,2009,1951,0
511,202665,40.0,6792,1368,1368,1368,0,0,1368,2,0,2,1,6,474,2,3,2006,2005,0
512,129900,70.0,9100,864,169,864,0,0,864,1,0,3,1,5,624,2,7,2006,1958,0
514,96500,55.0,10594,768,768,789,0,0,789,1,0,2,1,5,200,1,6,2007,1926,0
515,402861,94.0,12220,2006,570,2020,0,0,2020,2,1,3,1,9,900,3,9,2009,2009,0
516,158000,,10448,689,689,1378,741,0,2119,2,1,3,1,7,583,2,8,2009,1972,0
517,265000,79.0,10208,1264,1264,1277,1067,0,2344,2,1,3,1,7,889,3,7,2009,1996,0
519,234000,53.0,10918,1276,1276,1276,804,0,2080,1,1,3,1,9,282,1,6,2009,1926,0
521,150000,90.0,11988,1244,467,1244,0,0,1244,1,1,3,1,6,336,1,5,2007,1957,0
522,159000,50.0,5000,1004,605,1004,660,0,1664,2,0,3,1,7,420,2,10,2006,1947,0
523,184750,130.0,40094,3138,878,3138,1538,0,4676,3,1,3,1,11,884,3,10,2007,2007,0
524,315750,95.0,11787,1379,660,1383,1015,0,2398,2,1,3,1,8,834,3,8,2007,1996,0
525,176000,62.0,7500,1257,1257,1266,0,0,1266,2,0,3,1,6,453,2,4,2006,2005,0
527,446261,67.0,14948,1452,122,1476,1237,0,2713,2,1,3,1,11,858,3,11,2008,2008,0
528,86000,58.0,9098,528,180,605,0,0,605,1,0,2,1,5,0,0,7,2007,1920,0
530,175000,85.0,10200,1461,678,1509,0,0,1509,2,0,3,1,5,600,2,8,2008,1988,0
531,128000,60.0,6155,611,611,751,611,0,1362,2,0,3,1,6,502,2,6,2008,1920,0
533,39300,50.0,5000,0,0,334,0,0,334,1,0,1,1,2,0,0,1,2007,1946,0
534,178000,74.0,9056,707,707,707,707,0,1414,2,1,3,1,6,403,2,10,2006,2004,0
535,107500,70.0,7000,1117,148,820,527,0,1347,1,0,3,1,5,0,0,1,2008,1910,0
537,111250,,12735,864,264,864,0,0,864,1,0,3,1,5,576,2,4,2008,1972,0
538,158000,,11553,1051,378,1159,0,0,1159,1,1,3,1,7,336,1,7,2006,1968,0
540,315000,85.0,14601,1838,578,1838,0,0,1838,2,0,2,1,8,765,3,3,2009,2006,0
541,248000,,11000,969,969,997,1288,0,2285,2,1,4,1,8,648,3,6,2007,2000,0
542,213250,78.0,10140,1650,379,1680,0,0,1680,2,0,3,1,7,583,2,6,2009,1998,0
544,179665,58.0,17104,654,100,664,832,0,1496,2,1,3,1,7,426,2,9,2006,2006,0
545,229000,,13837,1204,0,1377,806,0,2183,2,1,4,1,9,786,3,2,2006,1988,0
546,210000,70.0,8737,1065,765,915,720,0,1635,1,1,3,1,6,440,2,5,2007,1923,0
547,129500,54.0,7244,768,149,768,0,0,768,1,0,2,1,5,624,2,4,2007,1970,0
548,125000,49.0,8235,825,0,825,0,0,825,1,0,2,1,4,720,2,6,2008,1955,0
549,263000,75.0,9375,912,912,912,1182,0,2094,2,1,4,1,8,615,2,11,2009,2003,0
552,255500,87.0,11146,1709,1709,1717,0,0,1717,2,0,3,1,7,908,3,7,2009,2006,0
553,108000,67.0,8777,0,0,1126,0,0,1126,2,0,2,1,5,520,2,5,2009,1949,0
556,141000,69.0,14850,1092,197,1092,0,0,1092,1,0,2,1,6,299,1,5,2006,1957,0
557,108000,60.0,11040,637,0,897,439,0,1336,1,1,3,1,7,570,1,9,2006,1920,0
559,234000,,3196,1374,1374,1557,0,0,1557,2,0,2,1,7,420,2,10,2006,2003,0
560,121500,,11341,1392,90,1392,0,0,1392,1,1,3,1,5,528,2,5,2010,1957,0
562,108000,63.0,13907,996,706,996,0,0,996,1,0,3,1,6,0,0,7,2008,1940,0
563,185000,66.0,21780,1163,1163,1163,511,0,1674,2,0,4,1,8,396,2,7,2008,1918,0
564,268000,,13346,1095,367,1166,1129,0,2295,2,1,4,1,9,590,2,7,2006,1992,0
565,128000,66.0,6858,806,806,841,806,0,1647,1,1,4,1,6,216,1,5,2010,1915,0
567,214000,70.0,10171,1517,1515,1535,0,0,1535,2,0,3,1,7,532,2,3,2010,2004,0
568,316600,79.0,12327,1496,55,1496,636,0,2132,1,1,1,1,5,612,2,9,2009,1983,0
569,135960,,7032,943,0,943,0,0,943,1,0,2,1,4,600,2,12,2006,1979,0
570,142600,74.0,13101,1728,1497,1728,0,0,1728,2,0,6,2,10,576,2,11,2008,1965,0
571,120000,60.0,7332,864,450,864,0,0,864,1,0,2,1,4,288,1,10,2006,1959,0
572,224500,83.0,13159,846,846,846,846,0,1692,2,1,3,1,6,650,2,7,2009,2009,0
573,170000,76.0,9967,384,384,774,656,0,1430,2,1,3,1,8,400,2,12,2007,2000,0
574,139000,70.0,10500,372,23,576,533,0,1109,1,0,3,1,5,288,1,12,2007,1971,0
575,118500,80.0,8480,832,390,832,384,0,1216,1,0,2,1,6,336,1,10,2008,1947,0
576,145000,52.0,6292,861,861,877,600,0,1477,2,0,3,1,6,216,1,8,2009,1928,0
577,164500,96.0,11777,1164,285,1320,0,0,1320,1,0,3,1,6,564,2,5,2006,1966,0
578,146000,34.0,3604,689,689,703,689,0,1392,2,0,2,1,5,540,2,2,2008,2007,0
584,133000,51.0,6120,884,884,989,584,0,1573,1,0,3,1,6,240,1,7,2009,1935,0
585,369900,88.0,11443,1868,408,2028,0,0,2028,2,0,2,1,7,880,3,3,2006,2005,0
586,130000,55.0,10267,816,0,838,0,0,838,1,0,2,1,5,275,1,5,2008,1918,0
587,137000,74.0,8740,840,168,860,0,0,860,1,0,2,1,4,528,2,7,2009,1982,0
588,143000,65.0,25095,1437,113,1473,0,0,1473,1,0,1,1,5,452,1,6,2009,1968,0
589,79500,50.0,9100,742,742,779,0,156,935,1,0,2,1,4,308,1,8,2008,1930,0
590,185900,64.0,8320,770,280,770,812,0,1582,2,1,3,1,6,520,2,9,2008,2004,0
592,138000,60.0,6600,816,0,816,0,0,816,1,0,2,1,4,816,2,6,2008,1982,0
593,140000,,4435,848,163,848,0,0,848,1,0,1,1,4,420,2,5,2009,2003,0
594,110000,88.0,7990,924,924,924,0,0,924,1,0,3,1,5,280,1,4,2008,1975,0
595,319000,69.0,11302,1814,392,1826,0,0,1826,2,0,3,1,7,758,3,8,2006,2005,0
596,114504,60.0,3600,684,684,684,684,0,1368,1,0,3,1,7,216,1,10,2006,1910,0
598,217500,80.0,12984,1430,0,1647,0,0,1647,2,0,3,1,7,621,2,3,2006,1977,0
599,151000,24.0,1950,716,23,716,840,0,1556,2,1,3,1,6,452,2,7,2008,1980,0
600,275000,74.0,10927,1058,512,1058,846,0,1904,2,1,3,1,8,736,2,6,2006,2005,0
602,220000,80.0,10041,908,119,927,988,0,1915,2,1,3,1,8,506,2,2,2006,1992,0
603,151000,30.0,3182,600,600,600,600,0,1200,2,1,2,1,4,480,2,6,2010,2004,0
604,221000,88.0,12803,1494,572,1494,0,0,1494,2,0,3,1,6,530,2,9,2008,2002,0
606,152000,82.0,12464,1040,308,1040,0,0,1040,1,0,3,1,6,576,2,11,2009,1996,0
608,359100,78.0,12168,965,537,1940,1254,0,3194,2,1,4,1,10,380,2,9,2007,1934,0
609,118500,61.0,7943,1029,126,1029,0,0,1029,1,0,3,1,5,261,1,4,2007,1961,0
610,313000,,11050,1440,536,1476,677,0,2153,2,1,3,1,8,736,3,5,2009,2000,0
611,148000,,10395,1032,427,1032,0,0,1032,2,0,3,1,6,564,2,7,2007,1978,0
612,261500,,11885,1299,309,1299,573,0,1872,2,1,3,1,7,531,2,11,2009,2001,0
613,147000,70.0,8402,1120,914,1120,0,0,1120,1,0,3,1,6,0,0,12,2007,2007,0
614,75500,21.0,1491,630,0,630,0,0,630,1,0,1,1,3,0,0,5,2010,1972,0
615,137500,80.0,8800,936,173,1054,0,0,1054,1,0,3,1,6,480,2,5,2010,1963,0
617,105500,59.0,7227,832,832,832,0,0,832,1,0,2,1,4,528,2,6,2008,1954,0
619,305000,85.0,12244,1482,611,1482,780,0,2262,2,1,4,1,10,749,3,8,2008,2003,0
620,67000,45.0,8248,864,823,864,0,0,864,1,0,2,1,5,0,0,9,2008,1914,0
621,240000,90.0,10800,1522,384,1548,1066,0,2614,2,1,4,1,9,624,2,6,2008,1974,0
622,135000,71.0,7064,980,420,980,0,0,980,1,0,3,1,6,484,2,7,2009,1977,0
623,168500,,2117,756,336,756,756,0,1512,2,1,2,1,4,440,2,6,2007,2000,0
625,160000,87.0,10000,1116,1116,1116,0,0,1116,1,1,3,1,5,440,2,2,2010,1962,0
627,153000,80.0,9600,1156,350,1520,0,0,1520,1,0,3,1,7,364,1,3,2010,1955,0
628,135000,70.0,11606,1040,390,1040,1040,0,2080,1,2,5,1,9,504,2,9,2007,1969,0
629,168500,82.0,9020,1248,288,1350,0,0,1350,1,1,3,1,6,520,2,6,2008,1964,0
630,124000,50.0,9000,636,636,1089,661,0,1750,1,0,3,1,8,240,1,6,2006,1880,0
631,209500,34.0,4590,1554,1530,1554,0,0,1554,2,0,2,1,6,627,2,8,2007,2006,0
632,82500,85.0,11900,1386,564,1411,0,0,1411,2,0,3,1,6,544,2,4,2009,1977,0
634,144000,64.0,6979,1056,0,1056,0,0,1056,0,0,0,2,4,576,2,6,2010,1980,0
636,60000,51.0,6120,264,264,800,0,0,800,1,0,1,1,4,0,0,1,2009,1936,0
637,93000,50.0,6000,811,811,811,576,0,1387,2,0,3,2,7,256,1,11,2009,1954,0
638,85000,67.0,8777,796,796,796,0,0,796,1,0,2,1,4,0,0,5,2008,1910,0
639,264561,53.0,3982,1520,366,1567,0,0,1567,2,0,1,1,7,648,3,10,2006,2006,0
641,226000,,7050,1057,319,1057,872,0,1929,2,1,3,1,7,650,2,5,2007,2001,0
642,345000,75.0,13860,1952,542,2000,704,0,2704,2,1,4,1,9,538,2,7,2009,1972,0
643,152000,80.0,10793,780,0,780,840,0,1620,2,1,4,1,7,462,2,4,2007,1969,0
645,143250,,10530,981,664,981,0,0,981,1,1,3,1,5,576,2,3,2007,1971,0
647,155000,85.0,10452,1094,594,1094,0,0,1094,1,0,3,1,5,495,2,6,2008,1953,0
648,155000,70.0,7700,756,756,1051,788,0,1839,1,1,4,1,7,442,2,6,2010,1966,0
649,84500,21.0,1936,630,0,630,0,0,630,1,0,1,1,3,0,0,12,2007,1970,0
650,205950,65.0,8125,813,813,822,843,0,1665,2,1,3,1,7,562,2,5,2008,2007,0
651,108000,60.0,9084,755,755,755,755,0,1510,1,0,4,1,7,296,1,10,2009,1940,0
652,191000,70.0,8750,880,880,909,807,0,1716,2,1,2,1,7,512,2,7,2009,1996,0
653,135000,60.0,10320,756,756,756,713,0,1469,1,0,3,1,7,216,1,6,2008,1906,0
654,350000,91.0,10437,2109,413,2113,0,0,2113,2,1,2,1,7,839,3,8,2008,1995,0
655,88000,21.0,1680,525,525,525,567,0,1092,1,1,3,1,6,264,1,3,2010,1971,0
656,145500,72.0,10007,1053,247,1053,0,0,1053,1,1,3,1,5,312,1,8,2008,1959,0
657,149000,60.0,7200,776,776,851,651,0,1502,1,1,3,1,6,270,1,2,2008,1931,0
658,97500,78.0,17503,912,912,912,546,0,1458,1,0,3,1,6,330,1,1,2010,1948,0
659,167000,75.0,9937,1486,849,1486,0,0,1486,1,0,3,1,7,480,2,3,2009,1964,0
660,197900,,12384,793,793,1142,793,0,1935,2,1,3,1,7,550,2,11,2007,1976,0
661,402000,52.0,46589,1629,88,1686,762,0,2448,2,1,4,1,8,711,3,7,2009,1994,0
662,110000,120.0,13560,1392,1392,1392,0,0,1392,1,0,2,1,5,576,2,7,2009,1968,0
664,423000,49.0,20896,2077,356,2097,0,0,2097,1,1,1,1,8,1134,3,1,2006,2005,0
666,129000,,18450,1021,111,1465,915,0,2380,2,1,3,1,7,596,2,8,2007,1965,0
667,193500,65.0,8125,1408,270,1679,0,0,1679,2,0,3,1,7,575,2,10,2008,1994,0
668,168000,,14175,1188,200,1437,0,0,1437,1,1,3,1,6,576,2,11,2006,1956,0
669,137500,80.0,11600,700,700,1180,0,0,1180,1,0,2,1,5,252,1,7,2006,1922,0
670,173500,64.0,8633,738,545,738,738,0,1476,2,1,3,1,7,540,2,2,2009,2005,0
671,103600,54.0,6629,672,121,697,672,0,1369,2,0,3,1,6,300,1,7,2009,1925,0
673,257500,110.0,14442,1477,291,1839,0,0,1839,2,0,3,1,7,416,2,6,2007,1957,0
674,140000,80.0,9200,1136,244,1136,0,0,1136,1,0,3,1,5,384,1,7,2008,1965,0
675,148500,24.0,2289,855,544,855,586,0,1441,2,1,3,1,7,440,2,4,2009,1978,0
676,87000,60.0,9600,1095,1095,1095,679,0,1774,2,0,4,2,8,779,3,5,2006,1900,0
677,109500,52.0,9022,768,768,792,0,0,792,1,0,2,1,5,240,1,5,2009,1924,0
678,372500,80.0,11844,2046,2046,2046,0,0,2046,2,1,3,1,7,834,3,7,2009,2008,0
680,143000,50.0,8012,923,261,923,0,0,923,2,0,2,1,5,264,1,5,2010,1980,0
681,159434,55.0,4500,793,611,848,672,0,1520,1,0,3,1,6,281,1,7,2009,1932,0
682,173000,,2887,1291,288,1291,0,0,1291,1,0,2,1,6,431,2,11,2008,1996,0
684,221000,58.0,16770,1195,1195,1195,644,0,1839,2,1,4,1,7,486,2,6,2010,1998,0
685,207500,,5062,1190,180,1190,900,0,2090,2,0,3,1,6,577,2,9,2007,1984,0
686,227875,84.0,10207,874,874,874,887,0,1761,3,0,3,1,7,578,2,8,2007,2007,0
687,148800,,5105,551,312,551,551,0,1102,2,1,2,1,4,480,2,3,2007,2004,0
688,392000,60.0,8089,1419,474,1419,0,0,1419,2,0,2,1,7,567,2,10,2007,2007,0
689,194700,61.0,7577,1362,1342,1362,0,0,1362,2,0,2,1,6,460,2,6,2007,2005,0
691,755000,104.0,21535,2444,989,2444,1872,0,4316,3,1,4,1,10,832,3,1,2007,1994,0
694,141500,51.0,6120,927,927,1067,472,0,1539,1,1,3,1,5,576,2,4,2009,1936,0
696,89000,50.0,6000,616,0,616,0,0,616,1,0,2,1,4,205,1,6,2006,1921,0
697,123500,57.0,6420,980,219,1148,0,0,1148,1,0,2,1,6,308,1,9,2006,1952,0
698,138500,65.0,8450,894,224,894,0,0,894,1,0,3,1,5,336,1,4,2010,1965,0
699,196000,59.0,4282,1391,1375,1391,0,0,1391,2,0,2,1,5,530,2,7,2008,2004,0
702,361919,82.0,12438,1234,1234,1264,1312,0,2576,2,1,4,1,10,666,3,7,2006,2006,0
704,213000,70.0,8400,1473,761,1484,0,0,1484,2,0,3,1,7,606,2,5,2010,2004,0
705,55000,70.0,5600,0,0,372,720,0,1092,2,0,3,2,7,0,0,7,2010,1930,0
707,254000,48.0,6240,1324,461,1324,0,0,1324,2,0,2,1,6,550,2,12,2009,2006,0
708,179540,65.0,9018,728,728,728,728,0,1456,2,1,3,1,8,400,2,7,2007,2007,0
709,109900,,7162,876,876,904,0,0,904,1,0,3,1,6,408,1,12,2008,1966,0
710,52000,56.0,4130,270,270,729,0,0,729,1,0,2,1,5,0,0,7,2008,1935,0
712,189000,40.0,4671,1228,461,1228,0,0,1228,2,0,2,1,5,472,2,10,2008,1988,0
713,129000,60.0,9873,960,171,960,0,0,960,1,0,3,1,6,576,2,5,2006,1970,0
715,165000,78.0,10140,1064,1064,1350,0,0,1350,2,0,3,1,7,478,2,8,2009,1974,0
716,159500,60.0,10800,718,718,1576,978,0,2554,1,1,3,1,8,704,2,7,2007,1890,0
717,157000,80.0,10000,1176,92,1178,0,0,1178,1,1,3,1,5,439,2,11,2008,1973,0
718,341000,96.0,10542,1311,138,1325,1093,0,2418,2,1,3,1,9,983,3,8,2008,1993,0
719,128500,69.0,9920,971,448,971,0,0,971,1,1,3,1,5,300,1,5,2006,1969,0
720,275000,,6563,1742,594,1742,0,0,1742,2,0,2,1,5,564,2,12,2006,1985,0
723,135000,60.0,8172,941,941,997,473,0,1470,2,0,4,1,7,548,1,5,2008,1954,0
724,320000,86.0,13286,1698,464,1698,0,0,1698,2,0,3,1,8,768,3,2,2009,2007,0
725,120500,60.0,6960,864,250,864,0,0,864,1,0,3,1,5,660,2,11,2009,1970,0
726,222000,,21695,880,72,1680,0,0,1680,2,0,3,1,5,540,2,12,2009,1988,0
727,194500,64.0,7314,1232,508,1232,0,0,1232,2,0,2,1,6,632,2,2,2009,2007,0
728,110000,85.0,11475,1584,1584,1776,0,0,1776,2,0,4,2,9,888,3,7,2009,1958,0
729,103000,52.0,6240,780,628,848,0,360,1208,1,0,2,1,5,539,2,1,2009,1925,0
730,236500,39.0,5389,1595,415,1616,0,0,1616,2,0,2,1,5,608,2,3,2010,1995,0
735,163000,60.0,10800,880,490,880,888,0,1768,1,1,2,1,6,320,2,10,2006,1914,0
736,93500,60.0,8544,0,0,1040,0,0,1040,2,0,2,2,6,400,2,7,2006,1950,0
737,239900,72.0,10463,893,893,901,900,0,1801,2,1,3,1,8,800,3,6,2006,2005,0
738,179000,60.0,10800,1200,0,1200,0,0,1200,3,0,3,1,5,0,0,3,2009,1987,0
739,190000,65.0,9313,864,864,864,864,0,1728,2,1,3,1,7,572,2,4,2009,2004,0
740,132000,60.0,9600,264,264,768,664,0,1432,2,0,2,1,7,360,2,5,2007,1910,0
741,142000,65.0,6768,912,80,912,0,0,912,1,0,3,1,5,288,1,5,2008,1961,0
742,179000,65.0,8450,1349,1349,1349,0,0,1349,2,0,3,1,6,539,2,12,2007,2000,0
743,175000,70.0,12886,520,76,1464,0,0,1464,2,0,3,1,6,480,2,10,2009,1963,0
744,180000,41.0,5395,1337,604,1337,0,0,1337,2,0,2,1,5,462,2,10,2008,1993,0
745,299800,,8963,1142,487,1175,1540,0,2715,3,1,4,1,11,831,2,7,2008,1976,0
746,236000,,8795,952,652,980,1276,0,2256,2,1,4,1,8,554,2,4,2009,2000,0
750,96500,55.0,8800,576,576,792,348,0,1140,1,0,3,1,7,0,0,6,2010,1910,0
751,162000,,7750,660,660,660,660,0,1320,2,1,3,1,6,400,2,8,2007,2003,0
753,275500,80.0,10240,1030,1030,1038,1060,0,2098,2,1,3,1,8,878,3,3,2006,2005,0
755,172500,34.0,3230,729,348,742,729,0,1471,2,1,3,1,6,440,2,3,2009,1999,0
